CustomerKey;Gender;Name        ;City    ;State Code;State       ;Zip Code;Country    ;Continent;Birthday
140956;Female;Abbey Smythe;BUMBERRAH;VIC;Victoria;3902;Australia;Australia;2/21/1958
13045;Female;Abbey Storkey;BLUE MOUNTAIN HEIGHTS;QLD;Queensland;4350;Australia;Australia;10/19/1957
1197658;Female;Abbie Bull;DOUGALSTON;East Dunbartonshire;East Dunbartonshire;;United Kingdom;Europe;12/31/1976
1027802;Female;Abbie Burrows;NASTY;East Hertfordshire;East Hertfordshire;;United Kingdom;Europe;12/29/1944
903464;Female;Abbie Cameron;INVERIE;Highland;Highland;;United Kingdom;Europe;3/24/1942
980266;Female;Abbie Haynes;SLIMBRIDGE;Gloucester;Gloucester;;United Kingdom;Europe;10/6/1999
962587;Female;Abbie Humphreys;CADDONFOOT;Scottish Borders;Scottish Borders;;United Kingdom;Europe;1/31/1953
1482176;Female;Abbie McDowell;Pittsburgh;PA;Pennsylvania;15205;United States;North America;8/16/1980
917293;Female;Abbie Nicholls;HASFIELD;Gloucester;Gloucester;;United Kingdom;Europe;4/5/1977
1169781;Female;Abbie O'Connor;GWYTHERIN;Denbighshire;Denbighshire;;United Kingdom;Europe;12/29/1954
769211;Male;Abbondio Costa;Passo Del Tonale;TN;Trento;38020;Italy;Europe;2/15/1979
1025012;Female;Abby Anderson;ASSELBY;East Riding of Yorkshire;East Riding of Yorkshire;;United Kingdom;Europe;4/17/1951
948656;Female;Abby Dale;DALBRECK;Highland;Highland;;United Kingdom;Europe;1/17/1998
16716;Female;Abby Frater;KAYUGA;NSW;New South Wales;2333;Australia;Australia;12/16/1987
949636;Female;Abby Hunt;EAST LEIGH;Mid Devon;Mid Devon;;United Kingdom;Europe;4/24/1977
1122318;Female;Abby Hunter;CALIFER;Moray;Moray;;United Kingdom;Europe;10/18/1936
6794;Female;Abby Hyam;CALDER;TAS;Tasmania;7325;Australia;Australia;2/6/1971
87861;Female;Abby Jeanneret;MOUNT COLAH;NSW;New South Wales;2079;Australia;Australia;4/7/1959
85265;Female;Abby McBrien;LOVETT BAY;NSW;New South Wales;2105;Australia;Australia;1/23/2000
66677;Female;Abby O'Mahony;TINGHA;NSW;New South Wales;2369;Australia;Australia;1/16/1978
161095;Female;Abby Plowman;KUNDA PARK;QLD;Queensland;4556;Australia;Australia;8/20/1971
31236;Female;Abby Warburton;THREE BRIDGES;VIC;Victoria;3797;Australia;Australia;8/8/1959
851776;Male;Abdel Teekens;Lemelerveld;OV;Overijssel;;Netherlands;Europe;8/20/1967
870611;Male;Abdelghafour van Oudheusden;Oppenhuizen;FR;Friesland;;Netherlands;Europe;2/24/1968
858612;Male;Abdifatah Thompson;Enschede;OV;Overijssel;;Netherlands;Europe;6/18/1953
2002773;Male;Abdirahman Mattsson;Camden;NJ;New Jersey;8102;United States;North America;1/7/1939
811059;Male;Abdirizak van der Molen;Vroomshoop;OV;Overijssel;;Netherlands;Europe;7/25/1980
848846;Male;Abdulkadir Olivier;Vinkeveen;UT;Utrecht;;Netherlands;Europe;10/21/1948
1826940;Male;Abel Touchette;East Lansing;MI;Michigan;48823;United States;North America;9/2/1988
797634;Male;Abele Lettiere;Corese Terra;RI;Rieti;2030;Italy;Europe;10/19/1966
717070;Female;Abelina Milani;Piantedo;SO;Sondrio;23010;Italy;Europe;5/12/1999
745253;Female;Abelina Schiavone;Valle Di Cadore;BL;Belluno;32040;Italy;Europe;7/6/1935
1968723;Female;Abellona Hermansen;Dallas;TX;Texas;75207;United States;North America;4/16/1991
996932;Female;Abigail Anderson;GRANTCHESTER;Cambridge;Cambridge;;United Kingdom;Europe;4/19/1954
1089176;Female;Abigail Armstrong;HEATHER;Leicester;Leicester;;United Kingdom;Europe;6/27/1968
1085687;Female;Abigail Bibi;BARLEY;Burnley;Burnley;;United Kingdom;Europe;12/25/1947
176973;Female;Abigail Byrnes;KALBAR;QLD;Queensland;4309;Australia;Australia;12/24/1990
72645;Female;Abigail Chin Kaw;BAIRD BAY;SA;South Australia;5671;Australia;Australia;9/9/1937
65163;Female;Abigail Considen;Beaufort;VIC;Victoria;3373;Australia;Australia;1/19/1954
1789247;Female;Abigail Cornell;Phoenix;AZ;Arizona;85008;United States;North America;11/2/1952
1137012;Female;Abigail Cox;ERDINGTON;Birmingham;Birmingham;;United Kingdom;Europe;11/20/1940
133905;Female;Abigail Dowie;EMU BAY;SA;South Australia;5223;Australia;Australia;4/16/1961
2042201;Female;Abigail Embley;Chicago;IL;Illinois;60601;United States;North America;11/10/1988
1151559;Female;Abigail Gibson;WELSH END;Shropshire;Shropshire;;United Kingdom;Europe;7/5/1989
921281;Female;Abigail Gregory;HENTON;South Oxfordshire;South Oxfordshire;;United Kingdom;Europe;3/30/1953
945833;Female;Abigail Haynes;GRETNA GREEN;Dumfriesshire;Dumfriesshire;;United Kingdom;Europe;3/21/1995
1058093;Female;Abigail Henry;POLMASSICK;Cornwall;Cornwall;;United Kingdom;Europe;10/10/1992
56834;Female;Abigail McElhone;PIKES CREEK;QLD;Queensland;4380;Australia;Australia;1/13/1964
1904257;Female;Abigail Mennell;New York;NY;New York;10007;United States;North America;6/30/1967
1160758;Female;Abigail Myers;WITTON GILBERT;County Durham;County Durham;;United Kingdom;Europe;1/12/2002
1031068;Female;Abigail Parker;HELHOUGHTON;Norfolk;Norfolk;;United Kingdom;Europe;7/6/1980
102466;Female;Abigail Peake;GARIE;NSW;New South Wales;2232;Australia;Australia;8/2/1982
1180909;Female;Abigail Perry;KINLOCH LAGGAN;Highland;Highland;;United Kingdom;Europe;3/21/1967
118271;Female;Abigail Reymond;ILUKA;NSW;New South Wales;2466;Australia;Australia;8/9/1956
934781;Female;Abigail Savage;SWINHOPE;Lincoln;Lincoln;;United Kingdom;Europe;10/12/1939
929598;Female;Abigail Simmons;SUTTON MADDOCK;Shropshire;Shropshire;;United Kingdom;Europe;5/13/1942
183354;Female;Abigail Wawn;WONDALGA;NSW;New South Wales;2729;Australia;Australia;6/1/1996
1013313;Female;Abigail Willis;OVER WALLOP;Test Valley;Test Valley;;United Kingdom;Europe;2/27/1977
1348049;Male;Abraham Caesar;Caro;MI;Michigan;48723;United States;North America;9/14/1982
759676;Male;Abramo Lo Duca;Bova Marina;RC;Reggio Calabria;89035;Italy;Europe;4/14/1975
777391;Male;Abramo Zito;Concesa;MI;Milano;20056;Italy;Europe;11/2/1990
866332;Female;Abygail Beunen;Pingjum;FR;Friesland;;Netherlands;Europe;4/25/1953
638156;Female;Aceline Grandbois;MARSEILLE;PA;Provence-Alpes-Cìte d'Azur;13011;France;Europe;2/6/1994
698624;Female;Aceline Moãse;THIAIS;IL;◊le-de-France;94320;France;Europe;8/28/1988
818966;Male;Achmed Loenen;Joure;FR;Friesland;;Netherlands;Europe;11/19/1999
1512083;Female;Ada Flores;Pittsburgh;PA;Pennsylvania;15201;United States;North America;12/11/1950
1688698;Female;Ada Hammers;Smithland;IA;Iowa;51056;United States;North America;2/22/1964
1224103;Female;Ada Hanlon;Winooski;VT;Vermont;5404;United States;North America;1/20/1965
368181;Female;Ada Smith;Toronto;ON;Ontario;;Canada;North America;7/3/1992
783763;Female;Adalgisa Beneventi;Suelli;CA;Cagliari;9040;Italy;Europe;7/24/1941
1932733;Male;Adalvino Villanueva;Tucson;AZ;Arizona;85710;United States;North America;5/16/1935
1792062;Male;Adam Avery;Norwood;MN;Minnesota;55368;United States;North America;6/5/1959
31288;Male;Adam Banning;CLAY WELLS;SA;South Australia;5280;Australia;Australia;8/28/1988
167874;Male;Adam Bidwill;BARNSLEY;NSW;New South Wales;2278;Australia;Australia;3/28/1947
990399;Male;Adam Blackburn;FFOREST;Swansea;Swansea;;United Kingdom;Europe;4/24/2001
905099;Male;Adam Butler;ABERAMAN;Rhondda Cynon Taf;Rhondda Cynon Taf;;United Kingdom;Europe;5/2/1944
1489054;Male;Adam Cook;Helen;GA;Georgia;30545;United States;North America;12/7/1960
166366;Male;Adam Dame;HILLTOWN;SA;South Australia;5455;Australia;Australia;1/30/1947
1541000;Male;Adam Davis;Red Bank;NJ;New Jersey;7701;United States;North America;10/31/1937
1586224;Male;Adam Dean;Buffalo;NY;New York;14202;United States;North America;10/17/1968
179083;Male;Adam Dundas;CLOVERLEA;VIC;Victoria;3822;Australia;Australia;3/27/1995
1040649;Male;Adam Ferguson;TANNADICE;Angus;Angus;;United Kingdom;Europe;7/11/1953
125391;Male;Adam Fornachon;TERRIGAL;NSW;New South Wales;2260;Australia;Australia;10/13/1989
929665;Male;Adam Graham;SALEHURST;Rother;Rother;;United Kingdom;Europe;7/24/1967
1969970;Male;Adam Holyman;Duluth;MN;Minnesota;55802;United States;North America;9/19/1960
1103275;Male;Adam Kirk;CARNO;Powys;Powys;;United Kingdom;Europe;11/6/1960
987208;Male;Adam Lawson;ABERERCH;Gwynedd;Gwynedd;;United Kingdom;Europe;5/3/1966
262761;Male;Adam Perez;Port Hope;ON;Ontario;;Canada;North America;4/23/1965
1029182;Male;Adam Shah;PINCHBECK;South Holland;South Holland;;United Kingdom;Europe;4/30/1954
2015900;Male;Adam ?imon;Fort Atkinson;WI;Wisconsin;53538;United States;North America;11/15/1995
1215249;Male;Adam Walker;Los Angeles;CA;California;90017;United States;North America;5/22/1937
708287;Male;Adamo Longo;Melano Bastia;AN;Ancona;60040;Italy;Europe;9/20/1981
776865;Male;Adamo Schiavone;Balvano;PZ;Potenza;85050;Italy;Europe;6/6/1996
735746;Female;Addolorata Mancini;Rho;MI;Milano;20017;Italy;Europe;6/7/1974
744922;Female;Addolorata Ricci;Timoline;BS;Brescia;25050;Italy;Europe;8/8/1952
2083610;Male;Adel Gustafsson;Greensboro;NC;North Carolina;28716;United States;North America;10/16/1973
2011796;Female;AdÇla Perutkov†;Wheeling;IL;Illinois;60090;United States;North America;2/20/1982
1901026;Female;AdÇla Zajacov†;Venetie;AK;Alaska;99781;United States;North America;3/26/1960
2001917;Female;AdÇlaãde Sabourin;Allison;CO;Colorado;81121;United States;North America;6/16/1935
382089;Female;Adele Beatty;St Sebastien De Frontenac;QC;Quebec;;Canada;North America;1/2/1963
703705;Female;Adele De Luca;Fontaniva;PD;Padova;35014;Italy;Europe;7/14/1978
672150;Female;Adäle Pelland;LES ULIS;IL;◊le-de-France;91940;France;Europe;4/4/1964
726934;Male;Adelfo Padovano;Sesto San Giovanni;MI;Milano;20099;Italy;Europe;8/6/1975
749068;Female;Adelia Zito;Planaval;AO;Aosta;11010;Italy;Europe;9/3/1960
746008;Female;Adelinda Iadanza;Collalbo;BZ;Bolzano;39054;Italy;Europe;1/5/1956
766410;Male;Adelmio Beneventi;Licola;NA;Napoli;80078;Italy;Europe;1/13/1940
2004284;Female;Adina Lindholm;Twin Falls;ID;Idaho;83301;United States;North America;2/14/1984
752396;Female;Adolfa Pisani;Fonte Alto;TV;Treviso;31010;Italy;Europe;1/4/1986
758280;Male;Adolfo Genovesi;Teglia;GE;Genova;16161;Italy;Europe;7/29/1993
739091;Male;Adolfo Lori;Villanova Di San Daniele;UD;Udine;33030;Italy;Europe;8/21/1991
741056;Male;Adolfo Palermo;Solimbergo;PN;Pordenone;33090;Italy;Europe;4/18/1943
1624904;Male;Adolph Sandstrom;Huntsville;KY;Kentucky;35816;United States;North America;11/2/1985
2001951;Male;Adrian Abdi;New York;NY;New York;10010;United States;North America;10/13/1994
1750322;Male;Adrian Allen;Aberdeen;SD;South Dakota;57401;United States;North America;6/25/1948
1959045;Male;Adri†n Collazo;Lexington;NC;North Carolina;27292;United States;North America;6/10/1964
1327386;Male;Adrian Greene;Wenatchee;WA;Washington;98801;United States;North America;8/5/1967
2075236;Male;Adrian Sîderberg;Morrisville;NC;North Carolina;27560;United States;North America;9/28/1957
1433389;Male;Adrian Watson;Little Rock;AR;Arkansas;72208;United States;North America;3/8/1986
727604;Female;Adriana Milanesi;Farfengo;CR;Cremona;26023;Italy;Europe;8/19/1991
357376;Female;Adriana Riley;London;ON;Ontario;;Canada;North America;1/27/1997
714400;Male;Adriano Boni;Santa Maria Di Catanzaro;CZ;Catanzaro;88060;Italy;Europe;10/24/1937
624109;Male;Adrien Devoe;PIERREFITTE-SUR-SEINE;IL;◊le-de-France;93380;France;Europe;10/30/1986
627190;Male;Adrien Paulet;MONTPELLIER;LN;Languedoc-Roussillon;34080;France;Europe;1/1/1956
655976;Male;Adrien Rocher;BOURGOIN-JALLIEU;RA;Rhìne-Alpes;38300;France;Europe;3/6/1988
337589;Female;Adrienne Soriano;Carmangay;AB;Alberta;;Canada;North America;8/8/2001
820848;Female;Afra van Muijen;Utrecht;UT;Utrecht;;Netherlands;Europe;5/23/1977
640472;Female;Afrodille Provencher;CERGY;IL;◊le-de-France;95800;France;Europe;1/4/1957
2063333;Female;Agape Altamirano;Champaign;IL;Illinois;61820;United States;North America;8/2/1999
1925959;Male;Agar Saucedo;Crafton;PA;Pennsylvania;15205;United States;North America;2/23/1980
744371;Female;Agata Napolitano;Montecarotto;AN;Ancona;60036;Italy;Europe;10/10/1959
652645;Female;Agate Baron;MONTFERMEIL;IL;◊le-de-France;93370;France;Europe;5/9/1944
660604;Female;Agate Brunault;MONT-SAINT-AIGNAN;HN;Haute-Normandie;76130;France;Europe;4/12/1955
1901852;Female;µgatha Barbosa;New Haven;CT;Connecticut;6511;United States;North America;11/30/1939
1914297;Female;µgatha Carvalho;Bensenville;IL;Illinois;60106;United States;North America;11/17/1988
1958662;Female;µgatha Cavalcanti;Vallejo;CA;California;94590;United States;North America;10/29/1949
643261;Female;Agathe Durand;MONTREUIL;IL;◊le-de-France;93100;France;Europe;5/28/1964
629413;Female;Agathe ParÇ;TORCY;IL;◊le-de-France;77200;France;Europe;2/21/1975
767692;Male;Agenore Li Fonti;Monte Rinaldo;AP;Ascoli Piceno;63020;Italy;Europe;11/11/1960
2031187;Male;Agnano Madera;Pompano Beach;FL;Florida;33062;United States;North America;5/17/1986
1380698;Female;Agnes Bronson;El Monte;CA;California;91731;United States;North America;5/15/1960
2061136;Female;Agnes Johansen;Northridge;CA;California;91324;United States;North America;9/9/1988
774618;Male;Agostino Lombardi;Marcellise;VR;Verona;37036;Italy;Europe;11/24/1985
1915783;Male;Ahmend Vel†squez;Chickasha;OK;Oklahoma;73018;United States;North America;9/18/1941
368445;Female;Aida Martin;Drummondville;QC;Quebec;;Canada;North America;7/15/1950
739214;Female;Aida Siciliani;San Pietro Del Gallo;CN;Cuneo;12020;Italy;Europe;1/3/1949
952345;Male;Aidan Ali;BRIG O'TURK;Falkirk;Falkirk;;United Kingdom;Europe;4/21/1948
957677;Male;Aidan Bartlett;BOLTON BRIDGE;Craven;Craven;;United Kingdom;Europe;8/13/1955
56161;Male;Aidan Burnett;UPPER CASTRA;TAS;Tasmania;7315;Australia;Australia;5/2/1994
47712;Male;Aidan Dethridge;CREMORNE;NSW;New South Wales;2090;Australia;Australia;8/30/1976
133608;Male;Aidan Grace;OBI OBI;QLD;Queensland;4574;Australia;Australia;2/21/1985
198627;Male;Aidan Grimley;WITHERS;WA;Western Australia;6230;Australia;Australia;2/23/1952
193563;Male;Aidan Kable;PRIMBEE;NSW;New South Wales;2502;Australia;Australia;1/23/1936
3203;Male;Aidan Kane;ARGENTON;NSW;New South Wales;2284;Australia;Australia;8/18/1998
1107656;Male;Aidan Law;BAILLIESWARD;Aberdeenshire;Aberdeenshire;;United Kingdom;Europe;9/8/1960
90281;Male;Aidan Livingston;WOODSIDE;VIC;Victoria;3874;Australia;Australia;10/22/1974
1107665;Male;Aidan Mills;GLUSS;Shetland;Shetland;;United Kingdom;Europe;4/16/1988
1042;Male;Aidan Pankhurst;TAWONGA SOUTH;VIC;Victoria;3698;Australia;Australia;11/19/1965
1065839;Male;Aidan Walsh;ONSLOW VILLAGE;Guildford;Guildford;;United Kingdom;Europe;3/24/1979
1129520;Male;Aidan Wells;TOLLER DOWN GATE;West Dorset;West Dorset;;United Kingdom;Europe;7/9/1954
67217;Male;Aiden De Burgh;JUBILEE HEIGHTS;QLD;Queensland;4860;Australia;Australia;3/4/1983
5962;Male;Aiden Dugdale;SWAN BAY;NSW;New South Wales;2324;Australia;Australia;11/17/1938
149914;Male;Aiden Gall;CURDIES RIVER;VIC;Victoria;3268;Australia;Australia;8/3/1954
12207;Male;Aiden Jull;OGMORE;QLD;Queensland;4706;Australia;Australia;11/30/1955
87690;Male;Aiden MacAdie;Alexandria;NSW;New South Wales;2015;Australia;Australia;9/24/1998
62590;Male;Aiden Thirkell;ROMAINE;TAS;Tasmania;7320;Australia;Australia;11/16/1972
162300;Male;Aiden Yencken;COONGULLA;VIC;Victoria;3860;Australia;Australia;5/4/1976
145258;Male;Aiden Zox;DRY PLAIN;NSW;New South Wales;2630;Australia;Australia;6/10/1944
2022162;Female;Aike Valdez;Maryville;MO;Missouri;64468;United States;North America;1/23/1958
289547;Female;Aileen Jung;Langley;BC;British Columbia;;Canada;North America;9/24/1964
831062;Male;Aimad de Rooij;Elshout;NB;Noord-Brabant;;Netherlands;Europe;2/6/1957
891068;Male;Aãmane Rinzema;Oudenbosch;NB;Noord-Brabant;;Netherlands;Europe;11/15/1977
1974024;Male;AimÇ Brodeur;Chattanooga;TN;Tennessee;37403;United States;North America;12/1/1943
635602;Male;AimÇ HervÇ;CHOLET;PL;Pays de la Loire;49300;France;Europe;11/9/1947
691420;Male;AimÇ Monjeau;MARSEILLE;PA;Provence-Alpes-Cìte d'Azur;13003;France;Europe;9/16/1950
915558;Female;Aimee Burns;NORTHMUIR;Angus;Angus;;United Kingdom;Europe;11/26/1970
1007753;Female;Aimee Cox;THORLEY STREET;Isle of Wight;Isle of Wight;;United Kingdom;Europe;6/17/1951
1072821;Female;Aimee Donnelly;HALFPENNY GREEN;South Staffordshire;South Staffordshire;;United Kingdom;Europe;3/10/1989
1157256;Female;Aimee Dyer;DOWNEND;Bristol;Bristol;;United Kingdom;Europe;1/6/1953
980750;Female;Aimee Graham;RUTHERFORD;Scottish Borders;Scottish Borders;;United Kingdom;Europe;1/26/1984
1088133;Female;Aimee Jordan;SOMERSHAM;Peterborough;Peterborough;;United Kingdom;Europe;9/24/1935
221924;Female;Aimee Pemberton;Evansburg;AB;Alberta;;Canada;North America;1/5/1955
1115892;Female;Aimee Robson;CWMSYMLOG;Ceredigion;Ceredigion;;United Kingdom;Europe;11/3/1963
1094704;Female;Aimee Swift;TILTUPS END;Stroud;Stroud;;United Kingdom;Europe;7/4/1953
1507926;Female;Aimee Wong;Anaheim;CA;California;92804;United States;North America;1/16/1961
772732;Male;Aimone Fiorentini;Chiaromonte;PZ;Potenza;85032;Italy;Europe;8/5/1956
715740;Male;Aimone Gallo;Valmareno;TV;Treviso;31051;Italy;Europe;5/19/1964
1928016;Female;Ainoha Romo;Canton;OH;Ohio;44702;United States;North America;10/31/1976
1996488;Female;Aira Hahli;Schaefferstown;PA;Pennsylvania;17067;United States;North America;7/20/1953
2065304;Female;Aisha Ek;Memphis;TN;Tennessee;38117;United States;North America;11/7/1995
2081773;Male;Ajdin Sandberg;Pleasantville (Atlantic);NJ;New Jersey;8232;United States;North America;2/19/1940
1982772;Male;èke SeppÑnen;Miami;FL;Florida;33138;United States;North America;8/3/1989
2034744;Male;Aksel Lothe;Odessa;TX;Texas;79762;United States;North America;9/21/1951
885896;Male;Akshay Pappot;Sliedrecht;ZH;Zuid-Holland;;Netherlands;Europe;11/27/1974
1401888;Male;Al Coleman;Earlimart;CA;California;93219;United States;North America;11/6/1970
236812;Male;Al Heslin;Glenavon;SK;Saskatchewan;;Canada;North America;11/23/1970
1483256;Male;Al James;Rancho Cordova;CA;California;95742;United States;North America;4/18/1942
692856;Female;Alacoque BÇland;LE KREMLIN-BIC“TRE;IL;◊le-de-France;94270;France;Europe;6/28/1993
706132;Male;Aladino Genovese;Lamezia Terme;CZ;Catanzaro;88046;Italy;Europe;4/28/1987
716838;Male;Aladino Longo;Vigevano;PV;Pavia;27029;Italy;Europe;1/7/1954
761495;Male;Aladino Nucci;Alfiano Natta;AL;Alessandria;15021;Italy;Europe;8/25/1938
648080;Male;Alain Jobin;POITIERS;PC;Poitou-Charentes;86000;France;Europe;5/30/1995
673770;Male;Alain Martineau;Paris;IL;◊le-de-France;75003;France;Europe;1/1/1979
636517;Male;Alain RenÇ;GRANDE-SYNTHE;NP;Nord-Pas-de-Calais;59760;France;Europe;2/13/1993
1614019;Male;Alan Bradford;Wilson;AR;Arkansas;72395;United States;North America;4/22/1941
1451363;Male;Alan Carr;Pensacola;FL;Florida;32501;United States;North America;4/16/1951
1919042;Male;Alan Cosic;Boca Raton;FL;Florida;33487;United States;North America;8/6/1950
265864;Male;Alan Depasquale;Grand Centre;AB;Alberta;;Canada;North America;12/24/1951
1230034;Male;Alan Franklin;New York;NY;New York;10016;United States;North America;4/26/1938
1433136;Male;Alan Her;Ontario;CA;California;91762;United States;North America;4/30/1952
1385496;Male;Alan Laflamme;St David;IL;Illinois;61563;United States;North America;10/29/1976
1678417;Male;Alan Mills;Wilmington;NC;North Carolina;28403;United States;North America;4/16/1942
1620151;Male;Alan Murray;Shaker Heights;OH;Ohio;44120;United States;North America;6/23/1983
351613;Male;Alan Perry;Calgary;AB;Alberta;;Canada;North America;10/6/1999
1537923;Male;Alan Ramos;Toledo;OH;Ohio;43615;United States;North America;10/19/1955
1645326;Male;Alan Rutledge;Batesville;IN;Indiana;47006;United States;North America;2/2/1956
1811452;Male;Alan Yoho;Burbank;CA;California;91502;United States;North America;1/16/1978
271760;Male;Alan Youngberg;Ottawa;ON;Ontario;;Canada;North America;3/4/1975
8098;Female;Alana Belt;SOUTH GREENOUGH;WA;Western Australia;6528;Australia;Australia;1/26/1967
70130;Female;Alana Cordeaux;BALLIDU;WA;Western Australia;6606;Australia;Australia;7/7/1969
93644;Female;Alana Dunne;BRIMBIN;NSW;New South Wales;2430;Australia;Australia;3/18/1962
98583;Female;Alana Kelly;LAKE TOOLBRUNUP;WA;Western Australia;6320;Australia;Australia;11/30/1964
151401;Female;Alana Marmion;CUMBORAH;NSW;New South Wales;2832;Australia;Australia;6/25/1966
121813;Female;Alana McMeckan;PEACOCK SIDING;QLD;Queensland;4850;Australia;Australia;1/8/2000
127193;Female;Alana Pearson;WEST KEMPSEY;NSW;New South Wales;2440;Australia;Australia;2/9/1977
47518;Female;Alana Spencer;UNDULLAH;QLD;Queensland;4285;Australia;Australia;5/13/1946
190747;Female;Alana Van Raalte;LACKRANA;TAS;Tasmania;7255;Australia;Australia;7/30/1959
182756;Female;Alana Wisewould;PIMBA;SA;South Australia;5720;Australia;Australia;11/22/1959
196946;Female;Alannah Castleton;KAPUNDA;SA;South Australia;5373;Australia;Australia;2/28/1946
166494;Female;Alannah Farran-Ridge;MERCUNDA;SA;South Australia;5308;Australia;Australia;7/28/1982
105274;Female;Alannah Flecker;GLENGARRY;VIC;Victoria;3854;Australia;Australia;7/15/1973
3327;Female;Alannah Le Messurier;KONONGWOOTONG;VIC;Victoria;3315;Australia;Australia;4/28/1948
163186;Female;Alannah Martin;TOWNSON;QLD;Queensland;4341;Australia;Australia;6/18/1986
2095256;Female;Alannah McAuley;West Alexander;PA;Pennsylvania;15376;United States;North America;6/2/1941
79808;Female;Alannah Nuyts;TUNCURRY;NSW;New South Wales;2428;Australia;Australia;9/22/1957
28076;Female;Alannah Onus;AVOCA;TAS;Tasmania;7213;Australia;Australia;1/2/1979
122096;Female;Alannah Wolinski;PAMPAS;QLD;Queensland;4352;Australia;Australia;9/26/1966
703212;Male;Alarico Romani;Monte Di Mezzo;TN;Trento;38050;Italy;Europe;8/15/1936
798120;Female;Alba Panicucci;Trenzano;BS;Brescia;25030;Italy;Europe;8/5/1952
1305648;Male;Albert Brock;Bakersfield;CA;California;93308;United States;North America;12/22/1999
1744437;Male;Albert Clark;Owatonna;MN;Minnesota;55060;United States;North America;12/15/1966
286879;Male;Albert Fitzpatrick;Ottawa;ON;Ontario;;Canada;North America;2/26/1978
381188;Male;Albert Hood;Mayo;YT;Yukon;;Canada;North America;10/24/1963
